[min90] hizli tarama basladi
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/gradient_boosting] min=0.9609 acc=0.9618 auc=0.9949
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/hist_gradient_boosting] min=0.9569 acc=0.9589 auc=0.9941
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/adaboost] min=0.9589 acc=0.9648 auc=0.9932
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/mlp] min=0.9550 acc=0.9648 auc=0.9888
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/xgboost] min=0.9569 acc=0.9618 auc=0.9952
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/lightgbm] min=0.9530 acc=0.9658 auc=0.9952
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_rf_et_hgb] min=0.9569 acc=0.9628 auc=0.9962
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9589 acc=0.9599 auc=0.9960
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/logistic_regression] min=0.9609 acc=0.9658 auc=0.9913
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/gaussian_nb] min=0.9609 acc=0.9648 auc=0.9899
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/knn] min=0.9589 acc=0.9638 auc=0.9876
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/svm_rbf] min=0.9609 acc=0.9648 auc=0.9938
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/random_forest] min=0.9628 acc=0.9648 auc=0.9950
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/extra_trees] min=0.9589 acc=0.9628 auc=0.9933
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/gradient_boosting] min=0.9569 acc=0.9667 auc=0.9928
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/hist_gradient_boosting] min=0.9491 acc=0.9609 auc=0.9920
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/adaboost] min=0.9589 acc=0.9648 auc=0.9932
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/mlp] min=0.9589 acc=0.9648 auc=0.9934
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/xgboost] min=0.9511 acc=0.9628 auc=0.9932
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/lightgbm] min=0.9530 acc=0.9638 auc=0.9932
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/soft_voting_rf_et_hgb] min=0.9530 acc=0.9648 auc=0.9942
[min90/min90_sentetik_2500_per_class_pima/compact_best_features/soft_voting_xgb_lgbm_et] min=0.9589 acc=0.9638 auc=0.9935
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/logistic_regression] min=0.9589 acc=0.9648 auc=0.9909
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/gaussian_nb] min=0.9511 acc=0.9589 auc=0.9911
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/knn] min=0.9648 acc=0.9716 auc=0.9906
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/svm_rbf] min=0.9609 acc=0.9658 auc=0.9961
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/random_forest] min=0.9530 acc=0.9687 auc=0.9960
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/extra_trees] min=0.9628 acc=0.9628 auc=0.9962
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/gradient_boosting] min=0.9609 acc=0.9628 auc=0.9954
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/hist_gradient_boosting] min=0.9511 acc=0.9589 auc=0.9939
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/adaboost] min=0.9550 acc=0.9628 auc=0.9938
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/mlp] min=0.9569 acc=0.9609 auc=0.9882
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/xgboost] min=0.9491 acc=0.9628 auc=0.9953
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/lightgbm] min=0.9491 acc=0.9618 auc=0.9948
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/soft_voting_rf_et_hgb] min=0.9589 acc=0.9628 auc=0.9962
[min90/min90_sentetik_2500_per_class_pima/high_signal_features/soft_voting_xgb_lgbm_et] min=0.9569 acc=0.9618 auc=0.9961
